酷安|com.coolapk.market
咪咕灵犀|com.iflytek.cmcc
贴吧极速版|com.baidu.tieba_mini
Bmap 地图|me.gfuil.bmap
触宝输入法|com.cootek.smartinputv5
大智慧|com.android.dazhihui
饿了么星选|com.baidu.lbs.waimai
substratum主题管理|projekt.substratum
360省电王|com.qihoo360.mobilesafe.opti.powerctl
豆瓣FM|com.douban.radio
360影视大全|com.qihoo.video
LBE平行空间|com.lbe.parallel
OneDrive|com.microsoft.skydrive
空调狗AirFrozen|me.yourbay.airfrozen
Opera迷你浏览器 Opera Mini 7|com.opera.mini.android
看看视频|com.xunlei.kankan
My Android Tools|cn.wq.myandroidtools
迷你UC:UC Browser Mini|com.uc.browser.en
微信读书|com.tencent.weread
开眼|com.wandoujia.eyepetizer
顺丰速运|com.sf.activity
Outlook|com.microsoft.office.outlook
手心输入法|com.xinshuru.inputmethod
镧·系统工具箱 2.0|xzr.La.systemtoolbox
唯品会|com.achievo.vipshop
百度输入法小米版|com.baidu.input_mi
Lidow|com.baiwang.PhotoFeeling
亚马逊Kindle|com.amazon.kindle
Dir|kh.android.dir
挖财记账|com.wacai365
魔力视频|com.molitv.android
CPU-Z|com.cpuid.cpu_z
八戒助手|com.dahuo.sunflower.assistant
智联招聘|com.zhaopin.social
千牛|com.taobao.qianniu
Opera|com.opera.browser
肯德基|com.yek.android.kfc.activitys
遥控精灵|com.tiqiaa.icontrol
央视影音|cn.cntv
多米音乐|com.duomi.android
一加社区|com.oneplus.bbs
交管12123|com.tmri.app.main
小咖秀|com.yixia.xiaokaxiu
纯纯写作 - 绝不丢失文本编辑器|com.drakeet.purewriter
GO输入法|com.jb.gokeyboard
WiFi连接管理器|com.roamingsoft.manager
亚马逊Kindle阅读|com.amazon.kindlefc
MIUI论坛|com.miui.miuibbs
腾讯动漫|com.qq.ac.android
有道翻译官|com.youdao.translator
阿里巴巴|com.alibaba.wireless
中信银行|com.ecitic.bank.mobile
百度文库|com.baidu.wenku
轻松天气|mobi.infolife.ezweather
涂画Sketch|com.sonymobile.sketch
航旅纵横|com.umetrip.android.msky.app
百度翻译（语音翻译）|com.baidu.baidutranslate
网易云课堂|com.netease.edu.study
傲游5浏览器|com.mx.browser
小米路由器  MiWiFi|com.xiaomi.router
鲁大师安卓版|com.ludashi.benchmark
电视家直播|com.elinkway.tvlive2
